iyear,Taliban,Al-Shabaab,Islamic State of Iraq and the Levant (ISIL),Communist Party of India - Maoist (CPI-Maoist),Boko Haram,sum,total,other
2000,0,0,0,0,0,0,1814,1814
2001,4,0,0,0,0,4,1907,1903
2002,7,0,0,0,0,7,1332,1325
2003,50,0,0,0,0,50,1262,1212
2004,55,0,0,0,0,55,1161,1106
2005,120,0,0,6,0,126,2014,1888
2006,164,0,0,18,0,182,2751,2569
2007,207,6,0,5,0,218,3241,3023
2008,257,26,0,129,0,412,4788,4376
2009,268,57,0,385,10,720,4722,4002
2010,306,71,0,505,17,899,4819,3920
2011,215,162,0,371,125,873,5065,4192
2012,796,232,0,48,423,1499,8491,6992
2013,773,319,373,47,233,1745,11999,10254
2014,1032,864,1241,68,493,3698,16818,13120
